claim,sub_claims,atomicity_human1,atomicity_human2,sufficiency_human1,sufficiency_human2,fabrication_human1,fabrication_human2,coverage_human1,coverage_human2,redundancy_human1,redundancy_human2
"The Parish of Bomgadah is located on the Silver City Highway, and its climate is tropical with a verdant and hilly landscape.","[""The Parish of Bomgadah is located on the Silver City Highway"", ""The climate of the Parish of Bomgadah is tropical"", ""The landscape of the Parish of Bomgadah is verdant and hilly""]","[3,3,2]","[3, 3, 2]","[3,3,3]","[3, 3, 3]","[1,1,1]","[1,1,1]",3,3,1,1
"The Parish of Bomgadah is located on the Silver City Highway, and its climate is tropical with a verdant and hilly landscape.","[""The Parish of Bomgadah is located on the Silver City Highway"", ""The climate of the Parish of Bomgadah is tropical while the landscape of the Parish of Bomgadah is verdant and hilly""]","[3,1]","[3, 1]","[3,3]","[3,3]","[1,1]","[1,1]",3,3,1,1
"The Parish of Bomgadah is located on the Silver City Highway, and its climate is tropical with a verdant and hilly landscape.","[""The Parish of Bomgadah is located on the Silver City Highway in Australia"", ""The climate of the Parish of Bomgadah is tropical"", ""The landscape of the Parish of Bomgadah is verdant and hilly""]","[3,3,2]","[2, 3, 2]","[3,3,3]","[3, 3, 3]","[2,1,1]","[3, 1, 1]",3,3,1,1
"The Parish of Bomgadah is located on the Silver City Highway, and its climate is tropical with a verdant and hilly landscape.","[""The Parish is located on the Silver City Highway"", ""The climate of the Parish of Bomgadah is tropical"", ""The landscape of the Parish of Bomgadah is verdant and hilly""]","[3,3,2]","[3, 3, 2]","[1,3,3]","[1, 3, 3]","[1,1,1]","[1,1,1]",3,2,1,1
"The Parish of Bomgadah is located on the Silver City Highway, and its climate is tropical with a verdant and hilly landscape.","[""The Parish of Bomgadah is located on the Silver City Highway"", ""The landscape of the Parish of Bomgadah is verdant and hilly""]","[3,2]","[3, 2]","[3,3]","[3, 3]","[1,1]","[1, 1]",1,2,1,1
"The Parish of Bomgadah is located on the Silver City Highway, and its climate is tropical with a verdant and hilly landscape.","[""The Parish of Bomgadah is located on the Silver City Highway"", ""The climate of the Parish of Bomgadah is tropical"", ""The landscape of the Parish of Bomgadah is verdant and hilly"", ""The Silver City Highway is hilly""]","[3,3,2,3]","[3, 3, 2, 3]","[3,3,3,1]","[3, 3, 3, 3]","[1,1,1,3]","[1, 1, 1, 3]",3,3,1,2
"In the 1990 (first all-German election since, Nazi show election in April 1938), 1994 (This elected Bundestag was largest in history until 2017, numbering 672 members) and 1998 elections in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS (Party of Democratic Socialism) party was succeeded by fellow PDS member Petra Pau from 2002 - 2017.","[""In the 1990 election in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS party was succeeded by fellow PDS member Petra Pau from 2002 - 2017"",""1994 elected Bundestag was largest in history until 2017, numbering 672 members"",""Gregor Gysi was a member of the PDS party in the 1990 election in Berlin Marzahn - Hellersdorf"",""Petra Pau succeeded Gregor Gysi as a PDS member from 2002 - 2017"",""1998 election in Berlin Marzahn - Hellersdorf involved Gregor Gysi and Petra Pau from the PDS party""]","[1,2,3,3,2]","[1, 2, 2, 3, 1]","[3,3,3,3,3]","[3, 3, 3, 3, 3]","[3,1,1,2,2]","[1, 1, 1, 1, 1]",3,3,1,1
"In the 1990 (first all-German election since, Nazi show election in April 1938), 1994 (This elected Bundestag was largest in history until 2017, numbering 672 members) and 1998 elections in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS (Party of Democratic Socialism) party was succeeded by fellow PDS member Petra Pau from 2002 - 2017.","[""In the 1990 election in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS party was succeeded by fellow PDS member Petra Pau from 2002 - 2017"",""1994 elected Bundestag was largest in history until 2017, numbering 672 members"",""Gregor Gysi was a member of the PDS party in the 1990 election in Berlin Marzahn - Hellersdorf"",""Petra Pau succeeded Gregor Gysi as a PDS member from 2002 - 2017"",""1998 election in Berlin Marzahn - Hellersdorf involved Gregor Gysi and Petra Pau from the PDS party""]","[1,2,3,3,2]","[1, 2, 2, 3, 1]","[3,3,3,3,3]","[3, 3, 3, 3, 3]","[3,1,1,2,2]","[1, 1, 1, 1, 1]",3,3,1,1
"In the 1990 (first all-German election since, Nazi show election in April 1938), 1994 (This elected Bundestag was largest in history until 2017, numbering 672 members) and 1998 elections in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS (Party of Democratic Socialism) party was succeeded by fellow PDS member Petra Pau from 2002 - 2017.","[""In the 1990 election in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS party was succeeded by fellow PDS member Petra Pau from 2002 - 2017"",""1994 elected Bundestag was largest in history until 2017, numbering 672 members"",""Gregor Gysi was a member of the PDS party in the 1990 election in Berlin Marzahn - Hellersdorf"",""Petra Pau succeeded Gregor Gysi as a PDS member from 2002 - 2017"",""1998 election in Berlin Marzahn - Hellersdorf involved Gregor Gysi and Petra Pau from the PDS party which was founded in 1896""]","[1,2,3,3,1]","[1, 2, 2, 3, 1]","[3,3,3,3,3]","[3, 3, 3, 3, 3]","[3,1,1,2,3]","[1, 1, 1, 1, 3]",3,3,1,1
"In the 1990 (first all-German election since, Nazi show election in April 1938), 1994 (This elected Bundestag was largest in history until 2017, numbering 672 members) and 1998 elections in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS (Party of Democratic Socialism) party was succeeded by fellow PDS member Petra Pau from 2002 - 2017.","[""In the 1990 election in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS party was succeeded by fellow PDS member Petra Pau from 2002 - 2017"",""The elected Bundestag was largest in history until 2017, numbering 672 members"",""Gregor Gysi was a member of the PDS party in the 1990 election in Berlin Marzahn - Hellersdorf"",""Petra Pau succeeded Gregor Gysi from 2002 - 2017"",""1998 election in Berlin Marzahn - Hellersdorf involved Gregor Gysi and Petra Pau from the PDS party""]","[1,2,3,3,2]","[1, 2, 2, 3, 1]","[3,2,3,2,3]","[3, 3, 3, 2, 3]","[3,1,1,1,2]","[1, 1, 1, 1, 1]",3,3,1,1
"In the 1990 (first all-German election since, Nazi show election in April 1938), 1994 (This elected Bundestag was largest in history until 2017, numbering 672 members) and 1998 elections in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS (Party of Democratic Socialism) party was succeeded by fellow PDS member Petra Pau from 2002 - 2017.","[""In the 1990 election in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS party was succeeded by fellow PDS member Petra Pau from 2002 - 2017"",""Petra Pau succeeded Gregor Gysi as a PDS member from 2002 - 2017"",""1998 election in Berlin Marzahn - Hellersdorf involved Gregor Gysi and Petra Pau from the PDS party""]","[1,3,2]","[1, 2, 1]","[3,3,3]","[3, 3, 3]","[1,2,2]","[1, 1, 1]",2,1,1,1
"In the 1990 (first all-German election since, Nazi show election in April 1938), 1994 (This elected Bundestag was largest in history until 2017, numbering 672 members) and 1998 elections in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS (Party of Democratic Socialism) party was succeeded by fellow PDS member Petra Pau from 2002 - 2017.","[""In the 1990 election in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS party was succeeded by fellow PDS member Petra Pau from 2002 - 2017"",""1994 elected Bundestag was largest in history until 2017, numbering 672 members"", ""1994 elected Bundestag had 672 members"",""Gregor Gysi was a member of the PDS party in the 1990 election in Berlin Marzahn - Hellersdorf"",""Petra Pau succeeded Gregor Gysi as a PDS member from 2002 - 2017"",""1998 election in Berlin Marzahn - Hellersdorf involved Gregor Gysi and Petra Pau from the PDS party""]","[1,2,3,3,3,2]","[1, 2, 1, 2, 3, 1]","[3,3,3,3,3,3]","[3, 3, 3, 3, 3, 3]","[3,1,1,1,2,2]","[1, 1, 1, 1, 1, 1]",3,3,2,2
"Amanda Bauer grew up in America, she had an interest in astronomy and attended the University of Cincinnati whose nickname is Bearcats.","[""Amanda Bauer grew up in America"", ""Amanda Bauer had an interest in astronomy"", ""Amanda Bauer attended the University of Cincinnati"", ""The University of Cincinnati's nickname is Bearcats""]","[3,3,3,3]","[3, 3, 3, 3]","[3,3,3,3]","[3, 3, 3, 3]","[1,1,1,1]","[1, 1, 1, 1]",3,3,1,1
"Amanda Bauer grew up in America, she had an interest in astronomy and attended the University of Cincinnati whose nickname is Bearcats.","[""Amanda Bauer grew up in America"", ""Amanda Bauer had an interest in astronomy"", ""Amanda Bauer attended the University of Cincinnati, which is nicknamed the Bearcats"", ""The University of Cincinnati's nickname is Bearcats""]","[3,3,2,3]","[3, 3, 1, 3]","[3,3,3,3]","[3, 3, 3, 3]","[1,1,1,1]","[1,1,1,1]",3,3,2,3
"Amanda Bauer grew up in America, she had an interest in astronomy and attended the University of Cincinnati whose nickname is Bearcats.","[""Amanda Bauer grew up in Denver, America"", ""Amanda Bauer had an interest in astronomy"", ""Amanda Bauer attended the University of Cincinnati initially majoring in French"", ""The University of Cincinnati's nickname is Bearcats""]","[3,3,3,3]","[2, 3, 1, 3]","[3,3,3,3]","[3, 3, 3, 3]","[2,1,2,1]","[3, 1, 3, 1]",3,3,1,1
"Amanda Bauer grew up in America, she had an interest in astronomy and attended the University of Cincinnati whose nickname is Bearcats.","[""Amanda Bauer grew up in America"", ""She had an interest in astronomy"", ""Amanda Bauer attended the University of Cincinnati"", ""The university’s nickname is Bearcats""]","[3,3,3,3]","[3, 3, 3, 3]","[3,3,3,1]","[3, 3, 3, 1]","[1,1,1,1]","[1, 1, 1, 1]",3,2,1,1
